genus name,family number,genus number
lappula gilib.,148,31
larix miller,26,5
lapsana l.,169,177
laser borkh.,129,95
laserpitium l.,129,98
lasiagrostis link,193,106
lasiopogon cass.,169,25
lathyrus l.,81,51
launaea cass.,169,164
laurentia adanson,168,15
laurus l.,65,1
lavatera l.,106,6
ledum l.,132,6
leersia swartz,193,130
legousia durande,168,5
lembotropis griseb.,81,11
lens miller,81,50
leontice l.,63,1
leonurus l.,151,13
lepidium l.,68,80
lepidophorum cass.,169,76
lepidotis beauv.,1,2
leptolax o. e. schultz,68,47
lereschia boiss.,129,65
leucanthemella tzvelev,169,70
leucanthemum miller,169,81
leucojum l.,185,3
leucorchis e. h. f. meyer,203,16
levisticum hill,129,81
leycesteria wall.,164,5
leysera l.,169,30
libanotis hill,129,32
ligularia cass.,169,97
ligustrum l.,139,6
lilium l.,183,24
limodorum boehmer,203,4
limonium miller,136,5
linaria miller,154,14
lindernia all.,154,2
linnaea l.,164,4
linum l.,86,1
liparis l. c. m. richard,203,33
lippia l.,149,4
liriodendron l.,64,1
lithodora griseb.,148,7
lithospermum l.,148,4
littorella bergius,163,2
litwinowia woronow,68,35
lobularia desv.,68,56
logfia cass.,169,65
loiseleuria desv.,132,9
lomatogonium a. braun,140,7
lonas adanson,169,64
lonicera l.,164,6
lophochloa reichenb.,193,69
loranthus l.,43,1
loretia duvaljouve,193,57551936
lotus l.,81,59
lupinus l.,81,28
luronium rafin.,170,3
lycium l.,152,2
lycocarpus o. e. schulz,68,2
lycopersicon miller,152,11
lycopodium l.,1,3
lycopsis l.,148,21
lygos adanson,81,20
lysichiton schott,195,3
lysimachia l.,135,8
lythrum l.,119,1
macrosyringion rothm.,154,30
mahonia nutt.,63,6
maianthemum weber,183,43
malabaila hoffm.,129,93
malus miller,80,27
malva l.,106,5
malvella jaub.  spach,106,4
mandragora l.,152,12
mantisalca cass.,169,135
maresia pomel,68,23
marrubium l.,151,5
matricaria l.,169,60
matteuccia tod.,18,5
matthiola r. br.,68,29
mattiastrum boiss.,,
maytenus molina,100,2
meconopsis vig.,66,2
medicago l.,81,56
melampyrum l.,154,27
melanoselinum hoffm.,129,101
melia l.,91,1
melilotus miller,81,54
menyanthes l.,141,1
mercurialis l.,87,4
merenderà ramond,183,18
mertensia roth,148,25
mesembryanthemum l.,52,4
mespilus l.,80,33
meum miller,129,45
mibora adanson,193,34
micromeria bentham,151,29
micropus l.,169,18
micropyrum link,193,9
microrhynchus less.,169,164
microstylis nutt.,,
middendorfia trautv.,119,1
mimulus l.,154,5
minaea lojac.,68,72
mirabilis l.,50,2
misopates rafin.,154,12
