Genus Name,Family,Genus
Misopates Rafin.,154,12
Modioia Moench,106,10
Moehringia L.,57,2
Moenchia Ehrh.,57,10
Molineria Pari.nonColla,193,77
Molineriella Rouy,193,77
Molinia Schrank,193,113
Molopospermum Koch,129,16
Moltkia Lehm.,148,11
Moluccella L.,151,14
Moneses Salisb.,131,3
Monochoria C. Presi,187,4
Monotropa L.,131,5
Monda L.,55,2
Morisia Gay,68,105
Morus L.,38,2
Mucizonia DC.,,
Muehlenbeckia Meissner,47,10
Murbeckiella Rothm.,68,3
Muretia Boiss.,129,24
Musa L.,200,1
Muscari Miller,183,36
Myagrum L.,68,13
Mycelis Cass.,169,172
Myoporum Solander ex G. Forster,162,1
Myosoton Moench,57,11
Myosurus L.,61,21
Myrica L.,32,1
Myricaria Desv.,113,3
Myriophyllum L.,124,2
Myrrhis Miller,129,15
Narcissus L.,185,6
Nardosmia Cass.,169,90
Narduroides Rouy,193,11
Nardurus Reichenb.,193,6
Narthecium Hudson,183,2
Nasturtium R. Br.,68,40
Naufraga Constance  Cannon,129,3
Neatostema I. M. Johnston,148,5
Nectaroscordum Lindley,183,39
Nelumbo Adanson,59,1
Nemophila Nutt.,147,1
Neottia Ludwig,203,6
Neottianthe Schlechter,203,12
Nerium L.,142,1
Neslia Desv.,68,67
Nicandra Adanson,152,1
Nicotiana L.,152,16
Nigella L.,61,4
Nigritella L. C. M. Richard,203,17
Nitraria L.,85,5
Noaea Moq.,48,26
Nonea Medicus,148,16
Nothoscordum Kunth,183,40
Notobasis Cass.,169,120
Notoceras R. Br.,68,30
Nuphar Sm.,58,2
Nymphaea L.,58,1
Odontitella Rothm.,154,30
Odontites Ludwig,154,30
Oenothera L.,123,3
Ofaiston Rafin.,48,27
Omalotheca Cass.,169,20
Omphalodes Miller,148,33
Onobrychis Miller,81,71
Onoclea L.,18,6
Ononis L.,81,53
Onopordum L.,169,123
Ophioglossum L.,5,1
Ophrys L.,203,30
Oplismenus Beauv.,193,133
Opoponax Koch,129,89
Opuntia Miller,118,1
Oreochloa Link,193,37
Oreoherzogia W. Vent,103,3
Orlaya Hoffm.,129,107
Ornithogalum L.,183,25
Ornithopus L.,81,64
Orobanche L.,160,2
Osmunda L.,6,1
Ostericum Hoffm.,129,80
Ostrya Scop.,35,2
Osyris L.,42,2
Otanthus Hoffmanns.  Link,169,65
Otospermum Willk.,169,73
Oxyria Hill,47,6
Paeonia L.,62,1
Palaeocyanus Dostal,169,128
Palimbia Besser,129,82
Paliurus Miller,103,1
Pancicia Vis.,129,25
Pancratium L.,185,7
Papaver L.,66,1
Paradisea Mazzuc.,183,8
Parapholis C. E. Hubbard,193,97
Parentucellia Viv.,154,32
Parietaria L.,40,3
Paris L.,183,47
Parnassia L.,74,1
Paronychia Miller,57,15
Parthenocissus Planchon,104,2
Parvotrisetum Chrtek,193,72
Pastinaca L.,129,91
Pastorea Tod.,68,72
Patrinia Juss.,166,1
Pedicularis L.,154,34
Peganum L.,85,1
Pellaea Link,7,2
Peltaria Jacq.,68,47
Pendulina Willk.,68,87
Pennisetum L. C. M. Richard,193,141
Pentaglottis Tausch,148,22
Periballia Trim,193,79
Periploca L.,143,1
Persea Miller,65,2
Petagnia Guss.,129,9
Petasites Miller,169,90
Petrocallis R. Br.,68,61
Petrocoptis A. Braun,57,27
Petrorhagia Ser. ex DC.,,
Petroselinum Hill,129,60
Petrosimonia Bunge,48,32
Petteria C. Presi,81,22
Peucedanum L.,129,90
Phacelia Juss.,147,2
Phacelurus Griseb.,193,152
Phagnalon Cass.,169,29
Phalacrachena Iljin,169,137
Phalacrocarpum Willk.,169,72
Pharbitis Choisy,146,6
Phaseolus L.,81,45
Phellodendron Rupr.,88,5
Philadelphus L.,75,1
Phillyrea L.,139,8
Phippsia R. Br.,193,22
Pholiurus Trin.,193,96
Phormium J. R.  G. Forster,183,13
